time,year,species,port,landings
1951-02-16 00:00:00+00:00,1951,"prawn, unspecified",All,613
1980-04-16 00:00:00+00:00,1980,"abalone, unspecified",Santa Barbara,160
1993-02-16 00:00:00+00:00,1993,"prawn, spotted",Monterey,812
1938-05-16 00:00:00+00:00,1938,"oyster, giant pacific",All,74665
1953-01-16 00:00:00+00:00,1953,"oyster, eastern",San Francisco,13231
1995-01-16 00:00:00+00:00,1995,"crab, yellow rock",All,220
1972-09-16 00:00:00+00:00,1972,"oyster, giant pacific",San Francisco,10941
1995-03-16 00:00:00+00:00,1995,"abalone, green",Los Angeles,119
1967-02-16 00:00:00+00:00,1967,"crab, dungeness",Eureka,2522531
1969-03-16 00:00:00+00:00,1969,"crab, dungeness",San Francisco,16383
1960-08-16 00:00:00+00:00,1960,"abalone, unspecified",Santa Barbara,295567
1987-08-16 00:00:00+00:00,1987,"abalone, green",All,626
1993-07-16 00:00:00+00:00,1993,"shrimp, pacific ocean",Eureka,288111
1985-06-16 00:00:00+00:00,1985,"prawn, ridgeback",Santa Barbara,253
1973-06-16 00:00:00+00:00,1973,"abalone, green",San Diego,3418
1949-05-16 00:00:00+00:00,1949,"shrimp, unspecified",San Francisco,83692
1987-08-16 00:00:00+00:00,1987,"prawn, spotted",Los Angeles,919
1955-07-16 00:00:00+00:00,1955,"clam, gaper",Monterey,116
1938-10-16 00:00:00+00:00,1938,"clam, common washington",Eureka,3132
1950-08-16 00:00:00+00:00,1950,"crab, dungeness",San Francisco,210
1958-09-16 00:00:00+00:00,1958,"abalone, unspecified",Santa Barbara,244723
1998-03-16 00:00:00+00:00,1998,"crab, rock",San Diego,7323
1985-04-16 00:00:00+00:00,1985,"clam, california jackknife",All,308
1987-08-16 00:00:00+00:00,1987,"prawn, spotted",Santa Barbara,8546
1931-10-16 00:00:00+00:00,1931,"clam, native littleneck",All,10269
1987-05-16 00:00:00+00:00,1987,"abalone, pink",All,2802
1944-09-16 00:00:00+00:00,1944,"oyster, giant pacific",San Francisco,11646
1981-02-16 00:00:00+00:00,1981,"abalone, pink",Los Angeles,8
1998-08-16 00:00:00+00:00,1998,"crab, rock",San Diego,10398
1988-05-16 00:00:00+00:00,1988,"crab, rock",Monterey,136
1986-07-16 00:00:00+00:00,1986,"abalone, red",All,21710
1983-09-16 00:00:00+00:00,1983,"abalone, pink",San Diego,1621
1998-08-16 00:00:00+00:00,1998,"prawn, ridgeback",All,242
1995-04-16 00:00:00+00:00,1995,"crab, dungeness",All,297152
1984-02-16 00:00:00+00:00,1984,"crab, rock",Monterey,750
1972-11-16 00:00:00+00:00,1972,"abalone, green",San Diego,7259
1936-01-16 00:00:00+00:00,1936,"crab, dungeness",San Francisco,455538
1980-03-16 00:00:00+00:00,1980,"crab, dungeness",All,372452
1972-05-16 00:00:00+00:00,1972,"oyster, giant pacific",San Diego,12
1992-11-16 00:00:00+00:00,1992,"crab, rock",San Diego,2219
1976-04-16 00:00:00+00:00,1976,"oyster, eastern",San Francisco,445
1956-07-16 00:00:00+00:00,1956,"prawn, unspecified",All,184
1983-01-16 00:00:00+00:00,1983,"shrimp, bay",All,12459
1941-04-16 00:00:00+00:00,1941,"clam, common washington",Eureka,3231
1965-03-16 00:00:00+00:00,1965,"crab, dungeness",Santa Barbara,728
1983-07-16 00:00:00+00:00,1983,"crab, king",Santa Barbara,170
1990-09-16 00:00:00+00:00,1990,"abalone, black",San Diego,27
1928-03-16 00:00:00+00:00,1928,"clam, pismo",All,7565
1970-12-16 00:00:00+00:00,1970,"shrimp, bay",All,259
1952-01-16 00:00:00+00:00,1952,"oyster, giant pacific",San Francisco,11277
1987-03-16 00:00:00+00:00,1987,"abalone, unspecified",Los Angeles,75
1993-05-16 00:00:00+00:00,1993,"abalone, pink",San Diego,34
1997-06-16 00:00:00+00:00,1997,"crab, rock",All,109745
1992-07-16 00:00:00+00:00,1992,"crab, rock",Monterey,1389
1972-01-16 00:00:00+00:00,1972,"crab, dungeness",Santa Barbara,92
1938-07-16 00:00:00+00:00,1938,"oyster, eastern",San Francisco,13592
1981-06-16 00:00:00+00:00,1981,"crab, spider",Los Angeles,247
1940-06-16 00:00:00+00:00,1940,"clam, pismo",Santa Barbara,15677
1930-02-16 00:00:00+00:00,1930,"clam, unspecified",Eureka,2092
1986-03-16 00:00:00+00:00,1986,"abalone, pink",Los Angeles,3459
1981-05-16 00:00:00+00:00,1981,"crab, dungeness",San Francisco,30147
1962-10-16 00:00:00+00:00,1962,"abalone, unspecified",Santa Barbara,259580
1953-10-16 00:00:00+00:00,1953,"shrimp, bay",San Francisco,46678
1991-09-16 00:00:00+00:00,1991,"shrimp, pacific ocean",All,630280
1963-11-16 00:00:00+00:00,1963,"crab, rock",Santa Barbara,5530
1977-05-16 00:00:00+00:00,1977,"oyster, eastern",San Francisco,402
1951-11-16 00:00:00+00:00,1951,"clam, unspecified",All,1404
1992-10-16 00:00:00+00:00,1992,"crab, spider",Los Angeles,2911
1971-02-16 00:00:00+00:00,1971,"crab, rock",San Diego,5934
1980-09-16 00:00:00+00:00,1980,"abalone, green",Los Angeles,5039
1938-10-16 00:00:00+00:00,1938,"shrimp, unspecified",Monterey,156
1971-11-16 00:00:00+00:00,1971,"abalone, unspecified",Santa Barbara,136733
1959-10-16 00:00:00+00:00,1959,"crab, rock",Los Angeles,2846
1947-05-16 00:00:00+00:00,1947,"crab, dungeness",San Francisco,233987
1992-05-16 00:00:00+00:00,1992,"prawn, spotted",San Francisco,12
1968-12-16 00:00:00+00:00,1968,"oyster, eastern",San Francisco,1625
1982-03-16 00:00:00+00:00,1982,"crab, rock",Santa Barbara,71000
1929-12-16 00:00:00+00:00,1929,"oyster, california",All,1358
1931-06-16 00:00:00+00:00,1931,"clam, california jackknife",All,1870
1948-03-16 00:00:00+00:00,1948,"crab, dungeness",All,1455297
1975-09-16 00:00:00+00:00,1975,"abalone, threaded",San Diego,164
1954-08-16 00:00:00+00:00,1954,"abalone, unspecified",All,366055
1982-06-16 00:00:00+00:00,1982,"clam, gaper",Monterey,37
1949-08-16 00:00:00+00:00,1949,"crab, rock",Los Angeles,449
1935-06-16 00:00:00+00:00,1935,"oyster, eastern",All,13985
1955-09-16 00:00:00+00:00,1955,"abalone, unspecified",San Diego,65018
1936-12-16 00:00:00+00:00,1936,"oyster, eastern",San Francisco,46372
1936-08-16 00:00:00+00:00,1936,"clam, common washington",All,343
1996-10-16 00:00:00+00:00,1996,"prawn, ridgeback",All,63024
1955-03-16 00:00:00+00:00,1955,"prawn, unspecified",All,147
1985-01-16 00:00:00+00:00,1985,"crab, dungeness",All,453322
1957-07-16 00:00:00+00:00,1957,"abalone, unspecified",Los Angeles,154945
1957-12-16 00:00:00+00:00,1957,"crab, dungeness",Santa Barbara,32564
1933-08-16 00:00:00+00:00,1933,"clam, gaper",All,146
1940-12-16 00:00:00+00:00,1940,"abalone, unspecified",Monterey,12500
1980-09-16 00:00:00+00:00,1980,"abalone, white",San Diego,314
1999-05-16 00:00:00+00:00,1999,"prawn, spotted",Los Angeles,12408
1972-09-16 00:00:00+00:00,1972,"abalone, red",All,136605
1947-12-16 00:00:00+00:00,1947,"abalone, unspecified",Santa Barbara,372073
1952-07-16 00:00:00+00:00,1952,"crab, dungeness",All,314498
1948-01-16 00:00:00+00:00,1948,"crab, dungeness",Monterey,10062
1940-01-16 00:00:00+00:00,1940,"clam, pismo",Monterey,1380
1942-02-16 00:00:00+00:00,1942,"shrimp, unspecified",All,51635
2001-12-16 00:00:00+00:00,2001,"shrimp, bay",San Francisco,8155
1942-05-16 00:00:00+00:00,1942,"abalone, unspecified",Monterey,1350
1996-12-16 00:00:00+00:00,1996,"crab, spider",Santa Barbara,2228
1979-03-16 00:00:00+00:00,1979,"prawn, spotted",Santa Barbara,3655
1978-12-16 00:00:00+00:00,1978,"abalone, pink",Los Angeles,9258
1938-10-16 00:00:00+00:00,1938,"clam, native littleneck",All,2700
1953-03-16 00:00:00+00:00,1953,"oyster, eastern",San Francisco,13307
1988-04-16 00:00:00+00:00,1988,"crab, dungeness",Santa Barbara,308
1995-11-16 00:00:00+00:00,1995,"shrimp, red rock",All,11
1955-01-16 00:00:00+00:00,1955,"crab, dungeness",Santa Barbara,6608
1994-09-16 00:00:00+00:00,1994,"prawn, ridgeback",All,10
1941-07-16 00:00:00+00:00,1941,"oyster, giant pacific",All,99320
1987-02-16 00:00:00+00:00,1987,"shrimp, pacific ocean",All,804
